#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 18:58
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
B2BTUR01;Brno, Tuøany;01.01.1961;31.12.1996;16.6956;49.1597;241
B2BTUR01;Brno, Tuøany;01.01.1997;31.12.2023;16.688889;49.153056;241

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Teplomìr;01.01.1961;31.12.1996;2
Teplotní èidlo;01.01.1997;31.10.2010;2
Teplotní èidlo;01.11.2010;31.12.2023;2.03

PRVEK
Prùmìrná denní teplota vzduchu [T.AVG, °C]

POPIS
Hodnota - mìsíèní hodnota prvku pro daný mìsíc
Datum - datum výskytu hodnoty
Pøíznak * u datumu znamená, že se hodnota vyskytla vícekrát
Pøíznak I znamená, že se výpoèet provedl z neúplných dat.

STATISTIKA
AVG - prùmìrná hodnota za mìsíc
SUM - souèet za mìsíc
MAX - maximální hodnota za mìsíc a den maxima
MIN - minimální hodnota za mìsíc a den minima

MÌSÍÈNÍ DATA
Rok;Statistika;Hodnota leden;Datum leden;Hodnota únor;Datum únor;Hodnota bøezen;Datum bøezen;Hodnota duben;Datum duben;Hodnota kvìten;Datum kvìten;Hodnota èerven;Datum èerven;Hodnota èervenec;Datum èervenec;Hodnota srpen;Datum srpen;Hodnota záøí;Datum záøí;Hodnota øíjen;Datum øíjen;Hodnota listopad;Datum listopad;Hodnota prosinec;Datum prosinec;Hodnota rok;Datum rok;
1979;MIN;-12.3;01.01.1979;-3.5;11.02.1979;.2;11.03.1979;1.9;18.04.1979;5.4;03.05.1979;12.9;18.06.1979;13.4;08.07.1979*;10.4;25.08.1979;8;16.09.1979;.9;26.10.1979;-1.1;26.11.1979;-3.4;31.12.1979;-12.3;01.01.1979;
1980;AVG;-4.5;;.8;;2.7;;6.4;;11.6;;16.1;;16.8;;17.8;;13.6;;8.3;;1.8;;-1.1;;7.5;;
1980;MAX;1.4;31.01.1980;4.2;06.02.1980;10;28.03.1980;13.3;16.04.1980*;16.4;08.05.1980;21.9;14.06.1980;21.3;20.07.1980;22.9;03.08.1980;18.6;05.09.1980;15.9;17.10.1980;10;24.11.1980;7.4;24.12.1980;22.9;03.08.1980;
1980;MIN;-11.2;14.01.1980;-3.3;27.02.1980;-3.1;20.03.1980;1.9;04.04.1980;3.3;04.05.1980;13;01.06.1980;12.8;22.07.1980;11;25.08.1980;10.1;28.09.1980;1.8;31.10.1980;-2.8;30.11.1980;-9.9;07.12.1980;-11.2;14.01.1980;
1981;AVG;-3.5;;-.4;;6.9;;8.6;;14.6;;18.1;;18;;18.5;;15.1;;9.5;;3.7;;-2;;8.9;;
1981;MAX;4.2;03.01.1981;6.4;08.02.1981;13.3;26.03.1981;16.2;13.04.1981;20.9;26.05.1981;23.9;03.06.1981;22.7;12.07.1981*;25;02.08.1981;19.8;28.09.1981;15.3;06.10.1981;13.8;02.11.1981;3.5;08.12.1981;25;02.08.1981;
1981;MIN;-11.1;09.01.1981;-4.6;27.02.1981;-.4;01.03.1981;2.2;17.04.1981;6.5;02.05.1981;11.8;19.06.1981;12.3;20.07.1981;12.5;28.08.1981;11.1;18.09.1981;2;24.10.1981;-1;17.11.1981;-10.7;21.12.1981;-11.1;09.01.1981;
1982;AVG;-5.4;;-1.6;;4.6;;6.9;;14.3;;17.7;;19.6;;19.1;;17.7;;9.8;;4.3;;1.3;;9;;
1982;MAX;3.7;05.01.1982;1.6;09.02.1982;11.6;28.03.1982;13.5;06.04.1982;20.2;28.05.1982;23.4;05.06.1982;23.4;20.07.1982;23.9;13.08.1982;22.2;06.09.1982;14.7;01.10.1982;8.4;09.11.1982;9.5;16.12.1982;23.9;13.08.1982;
1982;MIN;-14.2;10.01.1982;-5.2;04.02.1982;.8;06.03.1982;3.2;12.04.1982;4;01.05.1982;11.7;15.06.1982*;14.7;07.07.1982;14.9;22.08.1982;12.7;24.09.1982;4.2;28.10.1982;-1.1;06.11.1982;-2.9;31.12.1982;-14.2;10.01.1982;
1983;AVG;3;;-2.1;;5;;10.7;;15;;17.4;;22.2;;20.1;;15;;9.1;;1.7;;-1;;9.7;;
1983;MAX;9.7;27.01.1983;3.3;01.02.1983;9.7;19.03.1983;18.1;21.04.1983;23.3;16.05.1983;22;25.06.1983;27.5;27.07.1983;26.1;01.08.1983;23;02.09.1983;17.4;05.10.1983;9.5;08.11.1983;7.5;26.12.1983;27.5;27.07.1983;
1983;MIN;-2.5;01.01.1983*;-7.3;15.02.1983;-.8;12.03.1983;3.8;13.04.1983;8.3;06.05.1983;10.1;16.06.1983;15;21.07.1983;11.9;04.08.1983;12;13.09.1983*;3.4;23.10.1983*;-6.3;15.11.1983;-10.3;12.12.1983;-10.3;12.12.1983;
1984;AVG;-.8;;-.6;;3.2;;8.7;;13.2;;15.4;;16.9;;18.1;;13.6;;10.1;;4.7;;-.7;;8.5;;
1984;MAX;4;03.01.1984;5.1;26.02.1984;11.6;29.03.1984;15.3;16.04.1984;19.9;05.05.1984;20.2;21.06.1984;26.2;12.07.1984;23.4;05.08.1984;23.2;03.09.1984;17.2;01.10.1984;11.6;24.11.1984;5.1;11.12.1984;26.2;12.07.1984;
1984;MIN;-5.3;21.01.1984;-7.5;17.02.1984;-2.6;19.03.1984;2.7;04.04.1984;7.3;09.05.1984*;11.5;25.06.1984;12.3;04.07.1984;14.1;27.08.1984;9.2;26.09.1984;3.4;29.10.1984;0;14.11.1984*;-6.4;31.12.1984;-7.5;17.02.1984;
1985;AVG;-8;;-4.9;;3.4;;8.9;;15.3;;14.6;;18.7;;18.2;;14.1;;8.7;;.7;;1.8;;7.6;;
1985;MAX;.6;23.01.1985;4.6;01.02.1985;11.8;31.03.1985;14.2;05.04.1985;22.3;14.05.1985;20.7;05.06.1985;24.1;29.07.1985;24.7;14.08.1985*;19.2;21.09.1985;16.4;05.10.1985;8.9;10.11.1985;9.2;16.12.1985;24.7;14.08.1985*;
1985;MIN;-19.9;07.01.1985;-16;12.02.1985;-1.4;01.03.1985;2.7;24.04.1985;5.5;03.05.1985;10.8;09.06.1985*;14.4;02.07.1985;11.4;07.08.1985;9.1;09.09.1985;1;28.10.1985*;-6.7;27.11.1985;-5.2;31.12.1985;-19.9;07.01.1985;
1986;AVG;-.9;;-6.2;;2.8;;10.9;;16.2;;17.2;;18.2;;18.5;;13.3;;9.5;;4.5;;-.9;;8.6;;
1986;MAX;4.5;20.01.1986;4.3;01.02.1986;10.4;28.03.1986;19.2;29.04.1986;20.2;27.05.1986;23.6;17.06.1986;24.7;31.07.1986;25.8;04.08.1986;20.2;15.09.1986;13.3;02.10.1986;8.3;01.11.1986;6.3;31.12.1986;25.8;04.08.1986;
1986;MIN;-9;10.01.1986;-12.7;08.02.1986;-6.6;01.03.1986;.3;12.04.1986;9.5;31.05.1986;6.8;05.06.1986;12.6;10.07.1986;11.9;29.08.1986;9.6;20.09.1986;4.2;29.10.1986;-1.2;29.11.1986;-9;25.12.1986;-12.7;08.02.1986;
1987;AVG;-7.2;;-.6;;-.7;;9.5;;12.3;;16.5;;19.4;;16.3;;16.1;;10.3;;4.8;;1.1;;8.2;;
